ListNumber,Code,OriginalID,Item,Cloze,Sentence,RegionPlacement,OriginalList
1,1M1432,M143,143,M,The man really wanted to fry some more eggs,2,1
1,2L1443,L144,144,L,None of the man's coworkers had a single match which was,3,2
1,2H1451,H145,145,H,Because he loved to work the land Jim became a farmer,1,2
1,3M1462,M146,146,M,The burglar stole the painting but left the elegant frame made,2,3
1,1L1473,L147,147,L,The kids were scared about trying to cross the border into,3,1
1,2H1481,H148,148,H,My son saw the bird pecking at the soil using its,1,2
1,3M1492,M149,149,M,At the restaurant he didn't want anything to drink at,2,3
1,1L1503,L150,150,L,The scholars learned about the history of the mountain in the,3,1
1,2H1511,H151,151,H,Everett lit the campfire while I pitched the tent,1,2
1,3M1522,M152,152,M,The team discovered the fertile crops in a valley somewhere,2,3
1,1L1533,L153,153,L,Bill went to check on the brown calf in the,3,1
1,2H1541,H154,154,H,On Halloween the costumed children grabbed several pieces of,1,2
1,3M1552,M155,155,M,They used naloxone to treat an overdose in the,2,3
1,1L1563,L156,156,L,Before leaving to buy groceries my aunt suddenly lost her voice and couldn't,3,1
1,2H1571,H157,157,H,The store reduced their prices during the annual sale which,1,2
1,3M1582,M158,158,M,While facing the target he picked up his bow,2,3
1,1L1593,L159,159,L,My little sister had never seen that type of snake in the,3,1
1,2H1601,H160,160,H,At the bar the man sat on a stool,1,2
1,3M1612,M161,161,M,They fled in fear when the house started shaking all of,2,3
1,1L1623,L162,162,L,They hired the consultant because of her knowledge of art from the,3,1
1,2H1631,H163,163,H,After hours of brainstorming they had run out of ideas to,1,2
1,3M1642,M164,164,M,She brought the needle to inject some insulin to control her,2,3
1,1L1653,L165,165,L,In the gallery there was a wooden cross made of,3,1
1,2H1661,H166,166,H,To record some high school memories he had everyone sign his,1,2
1,3M1672,M167,167,M,There were a lot of old clothes stored in the attic,2,3
1,1L1683,L168,168,L,When he dropped the new toy it could no longer fly or move,3,1
1,2H1691,H169,169,H,The boy scout navigated using a map and a compass,1,2
1,3M1702,M170,170,M,My brother got his teeth knocked out while trying to play hockey,2,3
1,1L1713,L171,171,L,We started watering the yard because the plants had begun to bloom out,3,1
1,2H1721,H172,172,H,In polluted cities you can barely breathe,1,2
1,3M1732,M173,173,M,Before leaving the driveway my wife checked the baby's diaper,2,3
1,1L1743,L174,174,L,Jason brought his parents a lot of fruit as,3,1
1,2H1751,H175,175,H,At the sawmill they slice logs into long planks of wood,1,2
1,3M1762,M176,176,M,Perched up on the powerline he saw a small white dove with,2,3
1,1L1773,L177,177,L,Brenda had a change of heart and decided to switch the font of the,3,1
1,2H1781,H178,178,H,Driving in the countryside I could only hear static on the,1,2
1,3M1792,M179,179,M,The rescue workers recently found an old hermit living alone on the island,2,3
1,1L1803,L180,180,L,The student was going to get her degree at night in the,3,1
1,2H1811,H181,181,H,Pam received a rose but preferred any other species of flower,1,2
1,3M1822,M182,182,M,The students at Hogwarts had trouble understanding the spell for,2,3
1,1L1833,L183,183,L,It's easy to recognize a piranha because of its stripes and,3,1
1,2H1841,H184,184,H,Eric comforted his tearful son and sang him to sleep after,1,2
1,3M1852,M185,185,M,On their country drive they had trouble seeing the small sign in,2,3
1,1L1863,L186,186,L,He was carrying so much stuff in his hands he dropped the coin in,3,1
1,2H1871,H187,187,H,The angry visitor said hello but he refused to shake my hand,1,2
1,3M1882,M188,188,M,They were out of lemonade so instead they drank soda all,2,3
1,1L1893,L189,189,L,During arts and crafts she broke the tip of the needle while,3,1
1,2H1901,H190,190,H,The soprano auditioned for the church choir,1,2
1,3M1912,M191,191,M,She is deathly allergic to those types of bees in,2,3
1,1L1923,L192,192,L,While searching around in the garage the man found a piece of chalk during,3,1
1,2H1931,H193,193,H,In Santa's workshop the toys are made by the elves,1,2
1,3M1942,M194,194,M,The chemicals floating in the water can damage your skin,2,3
1,1L1953,L195,195,L,I reminded my wife that we needed some more sugar and,3,1
1,2H1961,H196,196,H,Long before he saw the ambulance's lights he heard the siren off,1,2
1,3M1972,M197,197,M,In the warrior's tomb the team discovered a large wooden shield covered,2,3
1,1L1983,L198,198,L,Right beside the lake there was a huge party that made the neighbors,3,1
1,2H1991,H199,199,H,Eric sued the taxi driver and took him to,1,2
1,3M2002,M200,200,M,At the breakfast buffet the conference was serving coffee and tea on the,2,3
1,1L2013,L201,201,L,At the store she bought some black pens and some red lipstick that looked,3,1
1,2H2021,H202,202,H,The hungry monkey was trying to peel the,1,2
1,3M2032,M203,203,M,Up in the poplar tree the stray cat found a nest made,2,3
1,1L2043,L204,204,L,When the building burned down the man was arrested for murder and,3,1
1,2H2051,H205,205,H,On the queen's head the priest placed a golden crown,1,2
1,3M2062,M206,206,M,George chose not to join the army,2,3
1,1L2073,L207,207,L,Of all the animals the peacock is known for its long neck and distinctive,3,1
1,2H2081,H208,208,H,She's locked out because she forgot to take her,1,2
1,3M2092,M209,209,M,The two Russians played another round of chess at,2,3
1,1L2103,L210,210,L,The small dagger that the soldier carried was covered with poison last,3,1
1,2H2111,H211,211,H,The collector's most valuable coins were made of silver and,1,2
1,3M2122,M212,212,M,She spat out the fruit because it was too sour,2,3
1,1L2133,L213,213,L,The woman's counter and refrigerator were covered in blood from the,3,1
1,2H2141,H214,214,H,He liked to study in the library because it was very,1,2
1,3M2152,M215,215,M,We definitely saw the fish swallow the hook with the,2,3
1,1L2163,L216,216,L,On the canvas Andrew drew a star up in the,3,1
